"partido";"palavra";"tipo";"lat";"lng"
"PMDB_Nacional";"caos";"neg";"-21.2633142";"-48.3103085"
"PMDB_Nacional";"medíocre";"neg";"-23.5505199";"-46.63330939999999"
"PMDB_Nacional";"grande";"pos";"-18.7190705";"-39.856734"
"PMDB_Nacional";"grande";"pos";"-23.5505199";"-46.63330939999999"
"PMDB_Nacional";"perder";"neg";"-3.1072574";"-60.04762840000001"
"Rede45";"merecem";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"bando";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"bando";"neg";"-15.7941569";"-47.8825289"
"Rede45";"vergonha";"neg";"-8.4257032";"-35.5329497"
"Rede45";"vergonha";"neg";"-8.4257032";"-35.5329497"
"Rede45";"pode";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"pode";"pos";"-5.178204";"-40.6695522"
"Rede45";"chorar";"neg";"-5.178204";"-40.6695522"
"Rede45";"pouco";"neg";"-21.3829234";"-51.5754829"
"Rede45";"jogo";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"importância";"pos";"-21.0350113";"-44.7592921"
"Rede45";"dor";"neg";"-5.178204";"-40.6695522"
"Rede45";"maior";"pos";"-8.4257032";"-35.5329497"
"Rede45";"maior";"pos";"-19.9245018";"-43.93523760000001"
"Rede45";"hipócritas";"neg";"-8.4257032";"-35.5329497"
"Rede45";"bom";"pos";"-23.6742228";"-46.5436003"
"Rede45";"renovar";"pos";"-22.9068467";"-43.1728965"
"Rede45";"moral";"pos";"-22.1123693";"-45.027985"
"Rede45";"respeito";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"retorno";"neg";"-23.6742228";"-46.5436003"
"Rede45";"melhor";"pos";"-8.4257032";"-35.5329497"
"Rede45";"oposição";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"reforma";"pos";"-22.7819449";"-43.4293183"
"Rede45";"reforma";"pos";"-22.7819449";"-43.4293183"
"Rede45";"reforma";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"reforma";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"reforma";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"reforma";"pos";"-16.6868824";"-49.26478849999999"
"Rede45";"paz";"pos";"-8.4257032";"-35.5329497"
"Rede45";"bem";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"vão";"neg";"-20.3477821";"-40.2949528"
"Rede45";"vão";"neg";"-15.7941569";"-47.8825289"
"Rede45";"vão";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"excelência";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"triste";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"triste";"neg";"-30.0435905";"-51.1861738"
"Rede45";"sim";"pos";"-8.1693806";"-34.9370588"
"Rede45";"apoio";"pos";"-22.9068467";"-43.1728965"
"Rede45";"apoio";"pos";"-30.0435905";"-51.1861738"
"Rede45";"ilegal";"neg";"-3.1190275";"-60.0217314"
"Rede45";"luz";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"voto";"pos";"-15.7941569";"-47.8825289"
"Rede45";"corrupção";"neg";"-8.4257032";"-35.5329497"
"Rede45";"renovação";"pos";"-8.4257032";"-35.5329497"
"Rede45";"renovação";"pos";"-20.3477821";"-40.2949528"
"Rede45";"renovação";"pos";"-20.3477821";"-40.2949528"
"Rede45";"renovação";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"renovação";"pos";"-21.3829234";"-51.5754829"
"Rede45";"tentar";"neg";"-21.3829234";"-51.5754829"
"Rede45";"tentar";"neg";"-3.7319029";"-38.5267393"
"Rede45";"bandido";"neg";"-8.098946999999999";"-41.2004878"
"Rede45";"legal";"pos";"-23.5505199";"-46.63330939999999"
