"partido";"palavra";"tipo";"lat";"lng"
"ptbrasil";"maior";"pos";"-23.223701";"-45.9009074"
"ptbrasil";"esperamos";"pos";"-8.0475622";"-34.8769643"
"ptbrasil";"precisa";"pos";"-25.4244287";"-49.2653819"
"ptbrasil";"melhor";"pos";"-23.223701";"-45.9009074"
"ptbrasil";"fala";"neg";"-5.7792569";"-35.200916"
"ptbrasil";"partido";"neg";"-23.5505199";"-46.63330939999999"
"ptbrasil";"bom";"pos";"-19.7882663";"-43.9403221"
"ptbrasil";"piada";"pos";"-12.9722184";"-38.5014136"
"ptbrasil";"piada";"pos";"-23.5505199";"-46.63330939999999"
"ptbrasil";"piada";"pos";"-22.9068467";"-43.1728965"
"ptbrasil";"lamento";"neg";"-5.7792569";"-35.200916"
"ptbrasil";"força";"neg";"-23.5505199";"-46.63330939999999"
"ptbrasil";"ai";"neg";"-15.7941569";"-47.8825289"
"ptbrasil";"ai";"neg";"-15.7941569";"-47.8825289"
"ptbrasil";"temer";"neg";"-15.7941569";"-47.8825289"
"ptbrasil";"vencer";"pos";"-23.5505199";"-46.63330939999999"
"ptbrasil";"quero";"pos";"-3.7319029";"-38.5267393"
"ptbrasil";"quero";"pos";"-1.4557794";"-48.4901968"
"ptbrasil";"crime";"neg";"-19.9166813";"-43.9344931"
"ptbrasil";"protestar";"neg";"-8.0475622";"-34.8769643"
"ptbrasil";"desgraça";"neg";"-30.0346564";"-51.2176584"
"ptbrasil";"condenado";"neg";"-15.7941569";"-47.8825289"
"ptbrasil";"atividade";"pos";"-21.1704008";"-47.8103238"
"ptbrasil";"odiado";"neg";"-30.0346564";"-51.2176584"
"ptbrasil";"querem";"pos";"-15.6014109";"-56.0978917"
"Rede45";"corrupto";"neg";"-20.3477821";"-40.2949528"
"Rede45";"fingem";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"esperar";"pos";"-23.6742228";"-46.5436003"
"Rede45";"importância";"pos";"-21.0350113";"-44.7592921"
"Rede45";"cara";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"cara";"pos";"-21.3829234";"-51.5754829"
"Rede45";"cara";"pos";"-8.4257032";"-35.5329497"
"Rede45";"respeito";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"concordo";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"finjo";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"esperando";"pos";"-14.4040989";"-56.4370932"
"Rede45";"dando";"pos";"-30.0435905";"-51.1861738"
"Rede45";"certeza";"pos";"-22.0087082";"-47.8909263"
"Rede45";"incoerência";"neg";"-21.3829234";"-51.5754829"
"Rede45";"maior";"pos";"-8.4257032";"-35.5329497"
"Rede45";"maior";"pos";"-19.9245018";"-43.93523760000001"
"Rede45";"bem";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"apoiando";"pos";"-23.5505199";"-46.63330939999999"
"Rede45";"fala";"neg";"-3.1190275";"-60.0217314"
"Rede45";"partido";"neg";"-8.4257032";"-35.5329497"
"Rede45";"partido";"neg";"-20.3477821";"-40.2949528"
"Rede45";"partido";"neg";"-22.2272034";"-54.82912589999999"
"Rede45";"partido";"neg";"-21.3829234";"-51.5754829"
"Rede45";"partido";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"partido";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"partido";"neg";"-23.5505199";"-46.63330939999999"
"Rede45";"partido";"neg";"-23.2860188";"-47.6790285"
"Rede45";"partido";"neg";"-18.7190705";"-39.856734"
"Rede45";"partido";"neg";"-22.1123693";"-45.027985"
