"location";"formatted_address";"lat";"lng";"lat_lng"
"Juazeiro do Norte, Brasil";"Juazeiro do Norte - State of Ceará, Brazil";-7.228472699999999;-39.3121233;"-7.228472699999999,-39.3121233"
"Ubaporanga MG";"Ubaporanga, State of Minas Gerais, 35338-000, Brazil";-19.6355348;-42.1063215;"-19.6355348,-42.1063215"
"Florianópolis, Santa Catarina";"Florianópolis - State of Santa Catarina, Brazil";-27.5948698;-48.54821949999999;"-27.5948698,-48.54821949999999"
"Osasco SP Brasil";"Osasco - State of São Paulo, Brazil";-23.5328871;-46.7919978;"-23.5328871,-46.7919978"
"São José dos Campos SP";"São José dos Campos, Sao Jose dos Campos - State of São Paulo, Brazil";-23.223701;-45.9009074;"-23.223701,-45.9009074"
"fortaleza ceará";"Fortaleza - State of Ceará, Brazil";-3.7319029;-38.5267393;"-3.7319029,-38.5267393"
"Santa Luzia MG Brasil";"São Benedito (Santa Luzia) - State of Minas Gerais, Brazil";-19.7882663;-43.9403221;"-19.7882663,-43.9403221"
"Belo Horzionte MG";"Belo Horizonte, State of Minas Gerais, Brazil";-19.9166813;-43.9344931;"-19.9166813,-43.9344931"
"Rio Grande do Sul, Brasil";"State of Rio Grande do Sul, Brazil";-30.0346316;-51.2176986;"-30.0346316,-51.2176986"
"São Paulo, Brésil";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"natal";"Natal, State of Rio Grande do Norte, Brazil";-5.7792569;-35.200916;"-5.7792569,-35.200916"
"são paulo";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"CURITIBA PR";"Curitiba - State of Paraná, Brazil";-25.4244287;-49.2653819;"-25.4244287,-49.2653819"
"Natal";"Natal, State of Rio Grande do Norte, Brazil";-5.7792569;-35.200916;"-5.7792569,-35.200916"
"Fortaleza, Brasil";"Fortaleza - State of Ceará, Brazil";-3.7319029;-38.5267393;"-3.7319029,-38.5267393"
"Paulistana PI , Brasil";"Paulistana - State of Piauí, Brazil";-8.098946999999999;-41.2004878;"-8.098946999999999,-41.2004878"
"BH Brasil";"Belo Horizonte - State of Minas Gerais, Brazil";-19.9245018;-43.93523760000001;"-19.9245018,-43.93523760000001"
"Santo andre";"Santo André, State of São Paulo, Brazil";-23.6742228;-46.5436003;"-23.6742228,-46.5436003"
"Diamantino, Brasil";"Diamantino, MT, 78400-000, Brazil";-14.4040989;-56.4370932;"-14.4040989,-56.4370932"
"Jaboatão dos Guararapes";"Jaboatão dos Guararapes - State of Pernambuco, Brazil";-8.1693806;-34.9370588;"-8.1693806,-34.9370588"
"Boa Saúde, Brasil";"Boa Saúde - State of Rio Grande do Norte, Brazil";-6.148937999999999;-35.5876697;"-6.148937999999999,-35.5876697"
"Boituva, Brasil";"Boituva, SP, 18550-000, Brazil";-23.2860188;-47.6790285;"-23.2860188,-47.6790285"
"São Mateus, Brasil";"São Mateus - State of Espírito Santo, Brazil";-18.7190705;-39.856734;"-18.7190705,-39.856734"
"João Pessoa, Brasil";"João Pessoa, Paraíba, João Pessoa - State of Paraíba, Brazil";-7.119495799999999;-34.8450118;"-7.119495799999999,-34.8450118"
"São Carlos, Brasil";"São Carlos, SP, Brazil";-22.0087082;-47.8909263;"-22.0087082,-47.8909263"
"paralelo POA RS";"Av. Protásio Alves, 2302 - Petrópolis, Porto Alegre - RS, 90620-230, Brazil";-30.0435905;-51.1861738;"-30.0435905,-51.1861738"
"Crateús, Brasil";"Crateús, CE, 63700-000, Brazil";-5.178204;-40.6695522;"-5.178204,-40.6695522"
"São Lourenço, Brasil";"São Lourenço - State of Minas Gerais, 37470-000, Brazil";-22.1123693;-45.027985;"-22.1123693,-45.027985"
"Salvador Bahia";"Salvador - State of Bahia, Brazil";-12.9722184;-38.5014136;"-12.9722184,-38.5014136"
"POA RS Brasil";"Porto Alegre - RS, Brazil";-30.0346564;-51.2176584;"-30.0346564,-51.2176584"
"Cascavel, Brasil";"Cascavel - Aroeira, Cascavel - PR, Brazil";-24.9577771;-53.45951119999999;"-24.9577771,-53.45951119999999"
"São Carlos";"São Carlos, SP, Brazil";-22.0087082;-47.8909263;"-22.0087082,-47.8909263"
"Juiz de Fora, Brasil";"Juiz de Fora, State of Minas Gerais, Brazil";-21.7624237;-43.3433999;"-21.7624237,-43.3433999"
"Brumadinho MG";"Brumadinho, MG, 35460-000, Brazil";-20.1514708;-44.2010909;"-20.1514708,-44.2010909"
"Conceição do Coité BA, Brasil";"Conceição do Coité - State of Bahia, 48730-000, Brazil";-11.5576676;-39.2791011;"-11.5576676,-39.2791011"
"Sorocaba, Brasil";"Sorocaba - State of São Paulo, Brazil";-23.5015338;-47.4525944;"-23.5015338,-47.4525944"
"Bahia, Brasil";"State of Bahia, Brazil";-12.579738;-41.7007272;"-12.579738,-41.7007272"
"Minas Gerais, Brasil";"State of Minas Gerais, Brazil";-18.512178;-44.5550308;"-18.512178,-44.5550308"
"Caxias do Sul, Brasil";"Caxias do Sul - Galópolis, Caxias do Sul - RS, Brazil";-29.1634031;-51.1796683;"-29.1634031,-51.1796683"
"Planeta Terra,Brasil S Paulo";"Av. Jamaris, 368 - Planalto Paulista, São Paulo - SP, 04090-000, Brazil";-23.6062336;-46.6600171;"-23.6062336,-46.6600171"
"Cruzaltense, Brasil";"Cruzaltense - RS, 99665-000, Brazil";-27.6326901;-52.6386467;"-27.6326901,-52.6386467"
"Caratinga MG";"Caratinga - State of Minas Gerais, Brazil";-19.7896943;-42.1415731;"-19.7896943,-42.1415731"
"Brasília, DF";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"Olinda, Brasil";"Olinda - State of Pernambuco, Brazil";-7.9908056;-34.841629;"-7.9908056,-34.841629"
"Nova Jaboticabal, Jaboticabal";"Nova Jaboticabal, Jaboticabal - SP, Brazil";-21.2633142;-48.3103085;"-21.2633142,-48.3103085"
"Brazil, Sao Paulo";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Brasília, Distrito Federal";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"Porto Alegre RS Brasil";"Porto Alegre - RS, Brazil";-30.0346564;-51.2176584;"-30.0346564,-51.2176584"
"Recife PE Brasil";"Recife - State of Pernambuco, Brazil";-8.0475622;-34.8769643;"-8.0475622,-34.8769643"
"Cuiabá, Mato Grosso";"Cuiabá - Coxipó da Ponte, Cuiabá - State of Mato Grosso, Brazil";-15.6014109;-56.0978917;"-15.6014109,-56.0978917"
