"partido";"userid";"username";"location";"texto";"coordinates"
"PMDB_Nacional";"702402689162997760";"Euclides";"Caruaru, Brasil";"nacional , milhões de desempregados e vocês com a cara de pau de dizer que estão trabalhando, o pmdb está";""
"PMDB_Nacional";"819239537977282560";"Luiz Daniel Blasius";"Porto Alegre, Brasil";"nacional haja óleo de peroba vocês não ficam nem vermelhos";""
"PMDB_Nacional";"3247066108";"Cássio Freire";"São Paulo, Brasil";"nacional eo aumento do combustível";""
"PMDB_Nacional";"710903932202180608";"SUSTENTABILIDADE";"Maranhão, Brasil";"nacional o pmdb, pt, psdb, pp e seus apoiadores precisam ser varridos da vida pública";""
"PMDB_Nacional";"114753257";"Manoel Neto";"Rio de Janeiro";"nacional hahahahahahahahaha agora conta uma com papagaio";""
"PMDB_Nacional";"3247061111";"Fernandos123";"São Paulo, Brasil";"nacional privatizar pros compadres, faltou o asterisco";""
"PMDB_Nacional";"16691681";"Stelle";"SP BR";"nacional pmdbosta";""
"PMDB_Nacional";"894543942078910464";"André Julião";"Recife, Brasil";"nacional não acredito em papai noel";""
"PMDB_Nacional";"887171107077451777";"Eduardo";"Curitiba, Brasil";"nacional";""
"PMDB_Nacional";"210669639";"BISMARQUE AGUIAR";"aguas claras brasilia df";"nacional já era hora";""
"PMDB_Nacional";"887702249983672320";"Rogério";"São Paulo, Brasil";"nacional tão vendendo o brasil junto com a carcaça";""
"PMDB_Nacional";"1528591454";"O Padeiro Comunista";"Eritrea";"nacional vcs acham isso grande coisa mesmo";""
"PMDB_Nacional";"900127692166754305";"Rosemberg Brito";"Paraty, Brasil";"nacional partido vergonhoso tudo lacraia";""
"PMDB_Nacional";"115634363";"Robson";"Recife";"nacional a privatização trará números para o erário público, mas em compensação, perderá sua moeda de barganha";""
"PMDB_Nacional";"162891407";"ws.cyber";"brasil";"nacional bando ladrao";""
"PMDB_Nacional";"1635614479";"José. júnior";"Tocantins, Brasil";"nacional cadê até agora nada de empregos";""
"PMDB_Nacional";"32072434";"Fredd";"Niterói";"nacional correto";""
"PMDB_Nacional";"2188777545";"9524";"Rio de Janeiro, Brasil";"nacional mentirasó vejo o desemprego aumentando";""
"PMDB_Nacional";"871069804135841793";"Rodrigo Cossich";"Castelo, Belo Horizonte";"nacional patrimônio vc tem gasolina ,energia elétrica de graça o que temos é arcar com um estado inchado c";""
"PMDB_Nacional";"235232087";"Washington Fonseca";"goiania goias brasil";"nacional há vai tomar no cu pmdb, você é o temer";""
